IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,PKTS_OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,,,IN_PKTS,OUT_BYTES
103.224.182.245,51245,192.168.1.50,80,6,7,545,71000,51,27,2,2,31,,,,
103.224.182.245,51246,192.168.1.50,80,6,7,550,72000,52,27,2,2,32,,,,
103.224.182.245,51247,192.168.1.50,80,6,7,555,73000,53,27,2,2,33,,,,
103.224.182.245,51248,192.168.1.50,80,6,7,560,74000,54,27,2,2,34,,,,
103.224.182.245,51249,192.168.1.50,80,6,7,565,75000,55,27,2,2,35,,,,
103.224.182.245,51250,192.168.1.50,80,6,7,570,76000,56,27,2,2,36,,,,
103.224.182.245,51251,192.168.1.50,80,6,7,575,77000,57,27,2,2,37,,,,
103.224.182.245,51252,192.168.1.50,80,6,7,580,78000,58,27,2,2,38,,,,
103.224.182.245,51253,192.168.1.50,80,6,7,585,79000,59,27,2,2,39,,,,
103.224.182.245,51254,192.168.1.50,80,6,7,590,80000,60,27,2,2,40,,,,
103.224.182.245,51255,192.168.1.50,80,6,7,595,81000,61,27,2,2,41,,,,
103.224.182.245,51256,192.168.1.50,80,6,7,600,82000,62,27,2,2,42,,,,
103.224.182.245,51257,192.168.1.50,80,6,7,605,83000,63,27,2,2,43,,,,
103.224.182.245,51258,192.168.1.50,80,6,7,610,84000,64,27,2,2,44,,,,
103.224.182.245,51259,192.168.1.50,80,6,7,615,85000,65,27,2,2,45,,,,
103.224.182.245,51260,192.168.1.50,80,6,7,620,86000,66,27,2,2,46,,,,
103.224.182.245,51261,192.168.1.50,80,6,7,625,87000,67,27,2,2,47,,,,
103.224.182.245,51262,192.168.1.50,80,6,7,630,88000,68,27,2,2,48,,,,
103.224.182.245,51263,192.168.1.50,80,6,7,635,89000,69,27,2,2,49,,,,
103.224.182.245,51264,192.168.1.50,80,6,7,640,90000,70,27,2,2,50,,,,
103.224.182.245,51265,192.168.1.50,80,6,7,645,91000,71,27,2,2,51,,,,
103.224.182.245,51266,192.168.1.50,80,6,7,650,92000,72,27,2,2,52,,,,
103.224.182.245,51267,192.168.1.50,80,6,7,655,93000,73,27,2,2,53,,,,
103.224.182.245,51268,192.168.1.50,80,6,7,660,94000,74,27,2,2,54,,,,
103.224.182.245,51269,192.168.1.50,80,6,7,665,95000,75,27,2,2,55,,,,
103.224.182.245,51270,192.168.1.50,80,6,7,670,96000,76,27,2,2,56,,,,
103.224.182.245,51271,192.168.1.50,80,6,7,675,97000,77,27,2,2,57,,,,
103.224.182.245,51272,192.168.1.50,80,6,7,680,98000,78,27,2,2,58,,,,
103.224.182.245,51273,192.168.1.50,80,6,7,685,99000,79,27,2,2,59,,,,
103.224.182.245,51274,192.168.1.50,80,6,7,690,100000,80,27,2,2,60,,,,
103.224.182.245,51275,192.168.1.50,80,6,7,695,101000,81,27,2,2,61,,,,
103.224.182.245,51276,192.168.1.50,80,6,7,700,102000,82,27,2,2,62,,,,
103.224.182.245,51277,192.168.1.50,80,6,7,705,103000,83,27,2,2,63,,,,
103.224.182.245,51278,192.168.1.50,80,6,7,710,104000,84,27,2,2,64,,,,
103.224.182.245,51279,192.168.1.50,80,6,7,715,105000,85,27,2,2,65,,,,
103.224.182.245,51280,192.168.1.50,80,6,7,720,106000,86,27,2,2,66,,,,
103.224.182.245,51281,192.168.1.50,80,6,7,725,107000,87,27,2,2,67,,,,
103.224.182.245,51282,192.168.1.50,80,6,7,730,108000,88,27,2,2,68,,,,
103.224.182.245,51283,192.168.1.50,80,6,7,735,109000,89,27,2,2,69,,,,
103.224.182.245,51284,192.168.1.50,80,6,7,740,110000,90,27,2,2,70,,,,
103.224.182.245,51285,192.168.1.50,80,6,7,745,111000,91,27,2,2,71,,,,
103.224.182.245,51286,192.168.1.50,80,6,7,750,112000,92,27,2,2,72,,,,
103.224.182.245,51287,192.168.1.50,80,6,7,755,113000,93,27,2,2,73,,,,
103.224.182.245,51288,192.168.1.50,80,6,7,760,114000,94,27,2,2,74,,,,
103.224.182.245,51289,192.168.1.50,80,6,7,765,115000,95,27,2,2,75,,,,
103.224.182.245,51290,192.168.1.50,80,6,7,770,116000,96,27,2,2,76,,,,
103.224.182.245,51291,192.168.1.50,80,6,7,775,117000,97,27,2,2,77,,,,
103.224.182.245,51292,192.168.1.50,80,6,7,780,118000,98,27,2,2,78,,,,
103.224.182.245,51293,192.168.1.50,80,6,7,785,119000,99,27,2,2,79,,,,
103.224.182.245,51294,192.168.1.50,80,6,7,790,120000,100,27,2,2,80,,,,
103.224.182.245,51295,192.168.1.50,80,6,7,795,121000,101,27,2,2,81,,,,
103.224.182.245,51296,192.168.1.50,80,6,7,800,122000,102,27,2,2,82,,,,
103.224.182.245,51297,192.168.1.50,80,6,7,805,123000,103,27,2,2,83,,,,
103.224.182.245,51298,192.168.1.50,80,6,7,810,124000,104,27,2,2,84,,,,
103.224.182.245,51299,192.168.1.50,80,6,7,815,125000,105,27,2,2,85,,,,
103.224.182.245,51300,192.168.1.50,80,6,7,820,126000,106,27,2,2,86,,,,
103.224.182.245,51301,192.168.1.50,80,6,7,825,127000,107,27,2,2,87,,,,
103.224.182.245,51302,192.168.1.50,80,6,7,830,128000,108,27,2,2,88,,,,
103.224.182.245,51303,192.168.1.50,80,6,7,835,129000,109,27,2,2,89,,,,
103.224.182.245,51304,192.168.1.50,80,6,7,840,130000,110,27,2,2,90,,,,
103.224.182.245,51305,192.168.1.50,80,6,7,845,131000,111,27,2,2,91,,,,
103.224.182.245,51306,192.168.1.50,80,6,7,850,132000,112,27,2,2,92,,,,
103.224.182.245,51307,192.168.1.50,80,6,7,855,133000,113,27,2,2,93,,,,
103.224.182.245,51308,192.168.1.50,80,6,7,860,134000,114,27,2,2,94,,,,
103.224.182.245,51309,192.168.1.50,80,6,7,865,135000,115,27,2,2,95,,,,
103.224.182.245,51310,192.168.1.50,80,6,7,870,136000,116,27,2,2,96,,,,
103.224.182.245,51311,192.168.1.50,80,6,7,875,137000,117,27,2,2,97,,,,
103.224.182.245,51312,192.168.1.50,80,6,7,880,138000,118,27,2,2,98,,,,
103.224.182.245,51313,192.168.1.50,80,6,7,885,139000,119,27,2,2,99,,,,
103.224.182.245,51314,192.168.1.50,80,6,7,890,140000,120,27,2,2,100,,,,
103.224.182.245,51315,192.168.1.50,80,6,7,895,141000,121,27,2,2,101,,,,
103.224.182.245,51316,192.168.1.50,80,6,7,900,142000,122,27,2,2,102,,,,
103.224.182.245,51317,192.168.1.50,80,6,7,905,143000,123,27,2,2,103,,,,
103.224.182.245,51318,192.168.1.50,80,6,7,910,144000,124,27,2,2,104,,,,
103.224.182.245,51319,192.168.1.50,80,6,7,915,145000,125,27,2,2,105,,,,
103.224.182.245,51320,192.168.1.50,80,6,7,920,146000,126,27,2,2,106,,,,
103.224.182.245,51321,192.168.1.50,80,6,7,925,147000,127,27,2,2,107,,,,
103.224.182.245,51322,192.168.1.50,80,6,7,930,148000,128,27,2,2,108,,,,
103.224.182.245,51323,192.168.1.50,80,6,7,935,149000,129,27,2,2,109,,,,
103.224.182.245,51324,192.168.1.50,80,6,7,940,150000,130,27,2,2,110,,,,
103.224.182.245,51325,192.168.1.50,80,6,7,945,151000,131,27,2,2,111,,,,
103.224.182.245,51326,192.168.1.50,80,6,7,950,152000,132,27,2,2,112,,,,
103.224.182.245,51327,192.168.1.50,80,6,7,955,153000,133,27,2,2,113,,,,
103.224.182.245,51328,192.168.1.50,80,6,7,960,154000,134,27,2,2,114,,,,
103.224.182.245,51329,192.168.1.50,80,6,7,965,155000,135,27,2,2,115,,,,
103.224.182.245,51330,192.168.1.50,80,6,7,970,156000,136,27,2,2,116,,,,
103.224.182.245,51331,192.168.1.50,80,6,7,975,157000,137,27,2,2,117,,,,
103.224.182.245,51332,192.168.1.50,80,6,7,980,158000,138,27,2,2,118,,,,
103.224.182.245,51333,192.168.1.50,80,6,7,985,159000,139,27,2,2,119,,,,
103.224.182.245,51334,192.168.1.50,80,6,7,990,160000,140,27,2,2,120,,,,
